Animal_ID,Treatment,Coverage,Perc_Cov
2:04,Control,11.778,0.11778
2:04,Control,16.814,0.16814
2:06,Control,22.976,0.22976
2:06,Control,18.39,0.1839
2:06,Control,15.426,0.15426
2:06,Control,15.126,0.15126
2:06,Control,17.893,0.17893
2:06,Control,16.115,0.16115
2:06,Control,8.697,0.08697
2:06,Control,15,0.15
2:06,Control,13.172,0.13172
2:08,Control,19.618,0.19618
2:08,Control,22.998,0.22998
2:08,Control,14.893,0.14893
2:08,Control,19.408,0.19408
2:08,Control,16.914,0.16914
2:08,Control,16.129,0.16129
2:08,Control,7.917,0.07917
2:08,Control,20.431,0.20431
2:08,Control,16.11,0.1611
2:11,PLX,25.733,0.25733
2:11,PLX,20.552,0.20552
2:11,PLX,22.225,0.22225
2:11,PLX,18.318,0.18318
2:11,PLX,23.87,0.2387
2:11,PLX,17.916,0.17916
2:11,PLX,18.506,0.18506
2:11,PLX,21.385,0.21385
2:11,PLX,21.228,0.21228
2:12,PLX,19.577,0.19577
2:12,PLX,11.507,0.11507
2:12,PLX,25.446,0.25446
2:12,PLX,18.427,0.18427
2:12,PLX,19.404,0.19404
2:12,PLX,24.324,0.24324
2:12,PLX,18.57,0.1857
2:12,PLX,16.989,0.16989
2:12,PLX,16.258,0.16258
2:14,PLX,20.716,0.20716
2:14,PLX,18.634,0.18634
2:14,PLX,19.328,0.19328
2:14,PLX,21.04,0.2104
2:14,PLX,17.144,0.17144
2:14,PLX,17.021,0.17021
2:14,PLX,16.623,0.16623
2:14,PLX,22.57,0.2257
2:14,PLX,18.743,0.18743
2:16,PLX,26.921,0.26921
2:16,PLX,23.222,0.23222
2:16,PLX,19.784,0.19784
2:16,PLX,18.786,0.18786
2:16,PLX,22.395,0.22395
2:16,PLX,17.021,0.17021
2:16,PLX,16.894,0.16894
2:16,PLX,18.993,0.18993
2:16,PLX,21.549,0.21549
